ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min
SPY,PUT,DAY2,2025-10-13T14:00:00+00:00,2025-10-13T14:30:00+00:00,2.2735,3.3135,5,0.400,663.10,660.50,0.4574,520.00,TIME_STOP,64,30.0
SPY,PUT,DAY2,2025-10-13T14:35:00+00:00,2025-10-13T15:05:00+00:00,2.2694,2.9934,5,0.400,661.91,660.10,0.3190,362.00,TIME_STOP,64,30.0
QQQ,PUT,DAY2,2025-11-07T14:32:00+00:00,2025-11-07T14:37:00+00:00,2.0836,3.3796,5,0.400,607.73,604.49,0.6220,648.00,TAKE_PROFIT,69,5.0
SPY,PUT,DAY2,2025-11-14T14:59:00+00:00,2025-11-14T15:16:00+00:00,2.2927,2.2247,5,0.400,668.69,668.86,-0.0297,-34.00,TRAILING_STOP,56,17.0
SPY,PUT,DAY2,2025-11-21T14:30:00+00:00,2025-11-21T14:48:00+00:00,2.2482,2.4322,5,0.400,655.73,655.27,0.0818,92.00,TRAILING_STOP,65,18.0
SPY,PUT,DAY2,2025-11-21T14:53:00+00:00,2025-11-21T15:05:00+00:00,2.2478,2.5718,5,0.400,655.60,654.79,0.1441,162.00,TRAILING_STOP,65,12.0
SPY,PUT,DAY2,2025-12-18T14:31:00+00:00,2025-12-18T14:54:00+00:00,2.3257,2.6377,5,0.400,678.33,677.55,0.1342,156.00,TRAILING_STOP,46,23.0
SPY,PUT,DAY2,2025-12-18T14:59:00+00:00,2025-12-18T15:23:00+00:00,2.3248,2.3848,5,0.400,678.06,677.91,0.0258,30.00,TRAILING_STOP,46,24.0
SPY,PUT,DAY2,2026-01-21T14:30:00+00:00,2026-01-21T14:52:00+00:00,2.3324,1.7724,5,0.400,680.29,681.69,-0.2401,-280.00,STOP_LOSS,56,22.0
SPY,PUT,DAY2,2026-02-13T14:30:00+00:00,2026-02-13T14:40:00+00:00,2.3373,3.5253,5,0.400,681.72,678.75,0.5083,594.00,TAKE_PROFIT,46,10.0
SPY,PUT,DAY2,2026-02-13T14:45:00+00:00,2026-02-13T14:55:00+00:00,2.3385,2.4425,5,0.400,682.06,681.80,0.0445,52.00,TRAILING_STOP,46,10.0
SPY,PUT,DAY2,2026-02-13T15:00:00+00:00,2026-02-13T15:09:00+00:00,2.3347,1.7507,5,0.400,680.96,682.42,-0.2501,-292.00,STOP_LOSS,56,9.0
QQQ,CALL,DAY2,2026-03-10T14:00:00+00:00,2026-03-10T14:07:00+00:00,2.0788,2.0348,6,0.400,606.32,606.21,-0.0212,-26.40,TRAILING_STOP,48,7.0
QQQ,CALL,DAY2,2026-03-10T14:17:00+00:00,2026-03-10T14:30:00+00:00,2.0782,3.1742,6,0.400,606.14,608.88,0.5274,657.60,TAKE_PROFIT,48,13.0
QQQ,CALL,DAY2,2026-03-10T14:35:00+00:00,2026-03-10T15:00:00+00:00,2.0892,3.1412,5,0.400,609.36,611.99,0.5035,526.00,TAKE_PROFIT,72,25.0
