ticker,direction,strategy,entry_time,exit_time,entry_price,exit_price,contracts,delta,underlying_entry,underlying_exit,pnl_pct,pnl_dollars,exit_reason,strength,hold_min,rsi_entry,bb_pct_b,adx_entry,vwap_sd
SPY,CALL,MEAN_REVERSION,2025-09-17T12:38:00-04:00,2025-09-17T12:50:00-04:00,2.3706,2.3832,10,0.420,658.50,658.53,0.0053,12.60,TIME_STOP,57,12.0,20.2,-0.109,19.5,-2.18
SPY,CALL,MEAN_REVERSION,2025-09-19T10:47:00-04:00,2025-09-19T10:59:00-04:00,2.3798,2.6066,10,0.420,661.05,661.59,0.0953,226.80,TIME_STOP,71,12.0,21.5,-0.156,14.3,-2.74
SPY,CALL,MEAN_REVERSION,2025-09-19T11:32:00-04:00,2025-09-19T11:44:00-04:00,2.3776,2.6464,10,0.420,660.45,661.09,0.1131,268.80,TIME_STOP,56,12.0,18.8,0.013,10.2,-2.81
SPY,PUT,MEAN_REVERSION,2025-09-19T15:02:00-04:00,2025-09-19T15:14:00-04:00,2.3877,2.3331,10,0.420,663.25,663.38,-0.0229,-54.60,TIME_STOP,52,12.0,78.9,1.227,18.4,2.01
SPY,CALL,MEAN_REVERSION,2025-09-23T11:41:00-04:00,2025-09-23T11:53:00-04:00,2.3964,2.4090,10,0.420,665.67,665.70,0.0053,12.60,TIME_STOP,73,12.0,20.0,-0.170,18.0,-2.96
SPY,CALL,MEAN_REVERSION,2025-09-29T11:11:00-04:00,2025-09-29T11:23:00-04:00,2.3903,2.3819,10,0.420,663.97,663.95,-0.0035,-8.40,TIME_STOP,56,12.0,24.7,-0.084,10.2,-1.91
SPY,CALL,MEAN_REVERSION,2025-09-29T15:15:00-04:00,2025-09-29T15:27:00-04:00,2.3832,2.7066,10,0.420,662.00,662.77,0.1357,323.40,TIME_STOP,59,12.0,18.8,-0.107,21.1,-2.18
SPY,PUT,MEAN_REVERSION,2025-09-30T14:11:00-04:00,2025-09-30T14:23:00-04:00,2.3889,2.3553,10,0.420,663.58,663.66,-0.0141,-33.60,TIME_STOP,51,12.0,77.4,1.164,17.8,1.87
SPY,PUT,MEAN_REVERSION,2025-10-06T11:47:00-04:00,2025-10-06T11:59:00-04:00,2.4181,2.3719,10,0.420,671.70,671.81,-0.0191,-46.20,TIME_STOP,56,12.0,83.2,1.055,19.3,2.24
SPY,PUT,MEAN_REVERSION,2025-10-06T13:23:00-04:00,2025-10-06T13:35:00-04:00,2.4196,2.5036,10,0.420,672.12,671.92,0.0347,84.00,TIME_STOP,53,12.0,76.6,1.230,13.2,2.04
